"[[[65.0, 90.0, 2.2222222222222223], [77.0, 90.0, 1.6666666666666667], [77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112]]]",19,306,326
"[[[79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112]]]",30,"['51', 'T']"
"[[[72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556]]]",31,"['52', 'T']"
"[[[77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556]]]",32,"['53', 'T']"
"[[[70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556], [72.0, 90.0, 1.6666666666666667]]]",33,"['54', 'T']"
"[[[74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556], [72.0, 90.0, 1.6666666666666667], [70.0, 90.0, 0.5555555555555556]]]",34,"['55', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556], [72.0, 90.0, 1.6666666666666667], [70.0, 90.0, 0.5555555555555556], [69.0, 90.0, 2.2222222222222223]]]",35,"['56', 'T']"
"[[[77.0, 90.0, 1.6666666666666667], [77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112]]]",41,"['20', 'T']"
"[[[77.0, 90.0, 0.5555555555555556], [76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112]]]",42,"['21', 'T']"
"[[[76.0, 90.0, 1.1111111111111112], [74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667]]]",43,"['22', 'T']"
"[[[74.0, 90.0, 3.3333333333333335], [72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556]]]",44,"['23', 'T']"
"[[[72.0, 90.0, 1.1111111111111112], [71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223]]]",45,"['24', 'T']"
"[[[71.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112]]]",46,"['25', 'T']"
"[[[72.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112]]]",47,"['26', 'T']"
"[[[74.0, 90.0, 1.6666666666666667], [72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112]]]",48,"['27', 'T']"
"[[[72.0, 90.0, 0.5555555555555556], [72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112]]]",49,"['28', 'T']"
"[[[72.0, 90.0, 2.2222222222222223], [79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112]]]",50,"['29', 'T']"
"[[[79.0, 90.0, 1.1111111111111112], [72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112]]]",51,"['30', 'T']"
"[[[72.0, 90.0, 1.1111111111111112], [77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556]]]",52,"['31', 'T']"
"[[[77.0, 90.0, 1.1111111111111112], [70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556]]]",53,"['32', 'T']"
"[[[70.0, 90.0, 1.1111111111111112], [74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556], [72.0, 90.0, 1.6666666666666667]]]",54,"['33', 'T']"
"[[[74.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556], [72.0, 90.0, 1.6666666666666667], [70.0, 90.0, 0.5555555555555556]]]",55,"['34', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [69.0, 90.0, 0.5555555555555556], [70.0, 90.0, 0.5555555555555556], [72.0, 90.0, 1.6666666666666667], [70.0, 90.0, 0.5555555555555556], [69.0, 90.0, 4.444444444444445]]]",56,"['35', 'T']"
"[[[60.0, 90.0, 1.6666666666666667], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [55.0, 90.0, 2.2222222222222223]]]",72,223,293
"[[[62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112]]]",78,108,137
"[[[65.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667]]]",80,"['109', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556]]]",81,"['110', 'T']"
"[[[65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112]]]",82,"['111', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",83,"['112', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556]]]",84,"['113', 'T']"
"[[[69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556]]]",85,"['114', 'T']"
"[[[69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",86,"['115', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556]]]",87,"['116', 'T']",180,205
"[[[65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112]]]",88,"['117', 'T']"
"[[[62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667]]]",89,"['118', 'T']",242,264
"[[[64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556]]]",90,"['119', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",91,"['120', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556]]]",92,"['121', 'T']"
"[[[69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556]]]",93,"['122', 'T']"
"[[[62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",94,"['123', 'T']"
"[[[64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335]]]",95,"['124', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112]]]",96,"['125', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112]]]",97,"['126', 'T']"
"[[[69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",98,"['127', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667]]]",99,"['128', 'T']"
"[[[67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556]]]",100,"['129', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112]]]",101,"['130', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",102,"['131', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667]]]",103,"['132', 'T']"
"[[[67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556]]]",104,"['133', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112]]]",105,"['134', 'T']"
"[[[69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223]]]",106,"['135', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112]]]",107,"['136', 'T']"
"[[[67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",108,78,"['137', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667]]]",109,"['80', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556]]]",110,"['81', 'T']"
"[[[65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112]]]",111,"['82', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",112,"['83', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556]]]",113,"['84', 'T']"
"[[[69.0, 90.0, 1.6666666666666667], [69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556]]]",114,"['85', 'T']"
"[[[69.0, 90.0, 0.5555555555555556], [67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",115,"['86', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556]]]",116,"['87', 'T']",180,205
"[[[65.0, 90.0, 1.1111111111111112], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112]]]",117,"['88', 'T']"
"[[[62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667]]]",118,"['89', 'T']",242,264
"[[[64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556]]]",119,"['90', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",120,"['91', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556]]]",121,"['92', 'T']"
"[[[69.0, 90.0, 1.1111111111111112], [62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556]]]",122,"['93', 'T']"
"[[[62.0, 90.0, 1.6666666666666667], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",123,"['94', 'T']"
"[[[64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335]]]",124,"['95', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112]]]",125,"['96', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112]]]",126,"['97', 'T']"
"[[[69.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",127,"['98', 'T']"
"[[[65.0, 90.0, 0.5555555555555556], [67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667]]]",128,"['99', 'T']"
"[[[67.0, 90.0, 3.3333333333333335], [67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556]]]",129,"['100', 'T']"
"[[[67.0, 90.0, 1.1111111111111112], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112]]]",130,"['101', 'T']"
"[[[64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112]]]",131,"['102', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667]]]",132,"['103', 'T']"
"[[[67.0, 90.0, 1.6666666666666667], [67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556]]]",133,"['104', 'T']"
"[[[67.0, 90.0, 0.5555555555555556], [69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112]]]",134,"['105', 'T']"
"[[[69.0, 90.0, 1.1111111111111112], [65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223]]]",135,"['106', 'T']"
"[[[65.0, 90.0, 1.1111111111111112], [67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112]]]",136,"['107', 'T']"
"[[[67.0, 90.0, 1.6666666666666667], [65.0, 90.0, 0.5555555555555556], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 2.2222222222222223], [64.0, 90.0, 1.1111111111111112], [65.0, 90.0, 4.444444444444445]]]",137,78,"['108', 'T']"
"[[[60.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667]]]",163,"['188', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556]]]",164,"['189', 'T']"
"[[[58.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556]]]",165,"['190', 'T']"
"[[[57.0, 90.0, 1.1111111111111112], [57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556]]]",166,"['191', 'T']",307,327
"[[[57.0, 90.0, 1.1111111111111112], [58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556]]]",167,"['192', 'T']"
"[[[58.0, 90.0, 1.6666666666666667], [60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556]]]",168,"['193', 'T']"
"[[[60.0, 90.0, 0.5555555555555556], [62.0, 90.0, 0.5555555555555556], [64.0, 90.0, 0.5555555555555556], [65.0, 90.0, 0.5555555555555556], [60.0, 90.0, 0.5555555555555556], [63.0, 90.0, 1.1111111111111112]]]",169,"['194', 'T']"
